"pair","quality","question","answer"
"1","BREAKING THE LINES","What is Breaking the Lines?","Breaking the Lines measures a player's ability to bypass the opponent's midfield block — either with a pass or a carry — moving the ball from a low or mid-block position directly into the final third. It captures vertical progression that eliminates pressure lines rather than recycling possession sideways."
"2","BREAKING THE LINES","How is Breaking the Lines measured?","Breaking the Lines is a weighted sum of a player's performance compared to other players in the same position group in: passes from the low block (Z2) reaching the final third (Z4) at 40%, carries from the low block (Z2) reaching the final third (Z4) at 40%, and progressive passes per 90 at 20%."
"3","BREAKING THE LINES","How is Breaking the Lines calculated?","Breaking the Lines is calculated as the weighted sum of the z-scores of: pass_z2_to_z4_p90 (40%), carry_z2_to_z4_p90 (40%), and progressive_passes_p90 (20%), among other players who play the same position."
"4","BREAKING THE LINES","What does it mean for a player to be outstanding at Breaking the Lines?","An outstanding Breaking the Lines player is an absolute engine in transition — they constantly bypass the midfield block with aggressive vertical passes or carries that eliminate entire pressure lines in a single action. They are rare because they combine positional depth with the courage and technique to play forward under pressure."
"5","BREAKING THE LINES","What does it mean for a player to be poor at Breaking the Lines?","A player poor at Breaking the Lines tends to recycle possession sideways or backwards when receiving in deep areas, rarely attempting passes or carries that skip into the final third. This is not always negative — some roles require ball retention rather than vertical progression."
"6","BREAKING THE LINES","Why are zone transitions (Z2 to Z4) the main component of Breaking the Lines?","Because Z2 to Z4 transitions represent the most direct form of line-breaking: the ball starts in the low block, behind or between the opponent's first and second lines of press, and arrives in the final third in a single action. This skips the creation zone entirely and is the clearest possible signal of vertical intent."
"7","BREAKING THE LINES","Why are progressive passes included in Breaking the Lines?","Progressive passes capture vertical passing intent across the whole pitch, not just from Z2. They complement the zone transitions by identifying players who consistently play forward regardless of their starting position, broadening the quality beyond just deep-lying playmakers."
"8","BREAKING THE LINES","Is Breaking the Lines only relevant for midfielders?","No. Centre-backs and full-backs who drive or pass the ball from defensive positions into the final third score highly in Breaking the Lines. In modern football, ball-playing defenders are increasingly expected to break lines as the first step of build-up, making this quality relevant across defensive and midfield roles."
"9","BREAKING THE LINES","How does Breaking the Lines differ from Creative Playmaker?","Breaking the Lines focuses on the vertical progression of the ball — getting it from deep areas into the final third. Creative Playmaker focuses on what happens once in or near the final third: creating shots, finding key passes, threading through balls. A player can be excellent at one and poor at the other."
"10","VERTICAL BOX THREAT","What is Vertical Box Threat?","Vertical Box Threat measures a player's tendency and ability to aggressively invade the opponent's penalty area through direct carries and runs. It captures players who attack the box from the final third with pace and directness, rather than combining in wider areas or waiting for the ball to arrive."
